bline_src,bline_dst,pair_count,order_count,ccr,lift_smoothed
其他业务,餐饮,180973,0,0.0,2.1305303196490835
到店综合,酒旅,7171,0,0.0,1.9604468397120804
餐饮,其他业务,223276,128328,0.5747505329726437,1.8412997493404528
酒旅,到店综合,7101,0,0.0,1.8182041011828989
其他业务,到家,10016,0,0.0,1.6960137211603306
到家,其他业务,14092,10519,0.7464518875957991,1.485224841066564
其他业务,酒旅,15517,0,0.0,1.2144278825782202
到店综合,餐饮,29317,0,0.0,1.2055484836024641
其他业务,到店综合,24261,0,0.0,1.1569976687813066
酒旅,其他业务,20969,7819,0.3728837808193047,1.0603104668941163
餐饮,到店综合,24557,0,0.0,1.0254177900499244
到店综合,其他业务,28752,8727,0.30352671118530883,0.9458897297133494
酒旅,餐饮,14220,0,0.0,0.8987890018536615
餐饮,酒旅,11286,0,0.0,0.7734219165674131
到家,餐饮,5170,0,0.0,0.6811712117895469
餐饮,到家,4437,0,0.0,0.6579319137204865
酒旅,到家,691,0,0.0,0.6290046582421834
到家,酒旅,576,0,0.0,0.5052682504802438
到店综合,到家,825,0,0.0,0.48848422372089945
到家,到店综合,781,0,0.0,0.4172754675899899
